epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,351.734,0.44795,0.31607,1.15102,0.99629,1,0.995,0.86115,0.43436,0.23612,0.96158,0.00104986,0.00104986,0.00104986
136,354.214,0.45225,0.32319,1.14593,0.98926,1,0.99449,0.85031,0.44092,0.24463,0.9657,0.00104703,0.00104703,0.00104703
137,356.715,0.45065,0.32144,1.13938,0.98973,1,0.995,0.85118,0.42743,0.24912,0.97259,0.0010442,0.0010442,0.0010442
138,359.284,0.44309,0.31686,1.13149,0.98473,1,0.995,0.85322,0.43849,0.24337,0.95353,0.00104137,0.00104137,0.00104137
139,361.769,0.45469,0.32816,1.11677,0.99791,0.99747,0.995,0.85255,0.45909,0.25,0.96588,0.00103854,0.00103854,0.00103854
140,364.25,0.46377,0.32045,1.14882,0.99339,0.99541,0.99182,0.8547,0.44973,0.24928,0.9719,0.00103571,0.00103571,0.00103571
141,366.759,0.46381,0.31876,1.16643,0.9876,0.9952,0.99168,0.8258,0.45491,0.25427,0.96858,0.00103288,0.00103288,0.00103288
142,369.668,0.45399,0.31837,1.145,0.9901,0.97907,0.99417,0.83314,0.46882,0.27116,0.97627,0.00103005,0.00103005,0.00103005
143,372.321,0.44565,0.3099,1.15509,0.98648,0.99808,0.99464,0.83285,0.45934,0.25408,0.95589,0.00102722,0.00102722,0.00102722
144,374.871,0.44545,0.32051,1.13456,0.99836,0.99886,0.995,0.86243,0.42357,0.23391,0.9614,0.00102439,0.00102439,0.00102439
145,377.415,0.43846,0.31118,1.12464,0.99662,1,0.995,0.8578,0.42495,0.23802,0.97375,0.00102156,0.00102156,0.00102156
146,379.98,0.44687,0.30845,1.12673,0.99625,1,0.995,0.85794,0.43088,0.2373,0.95207,0.00101873,0.00101873,0.00101873
147,382.542,0.44379,0.31288,1.1494,0.99619,1,0.995,0.86324,0.42134,0.23459,0.95291,0.0010159,0.0010159,0.0010159
148,385.027,0.43255,0.30255,1.1351,0.99618,1,0.995,0.86418,0.41718,0.22942,0.95229,0.00101308,0.00101308,0.00101308
149,387.603,0.44696,0.30842,1.14964,0.99661,1,0.995,0.84418,0.43563,0.2406,0.97152,0.00101025,0.00101025,0.00101025
150,390.204,0.44944,0.31335,1.1289,0.99086,1,0.99469,0.85118,0.43029,0.23889,0.97948,0.00100742,0.00100742,0.00100742
151,392.897,0.44236,0.31267,1.15036,0.99326,0.99817,0.995,0.86199,0.42604,0.24678,0.9655,0.00100459,0.00100459,0.00100459
152,395.381,0.45253,0.31697,1.14231,0.99367,1,0.995,0.85208,0.42933,0.24643,0.96752,0.00100176,0.00100176,0.00100176
153,397.887,0.45506,0.32335,1.14949,0.99647,1,0.995,0.86589,0.42518,0.23733,0.9707,0.000998928,0.000998928,0.000998928
154,400.42,0.43747,0.30269,1.14479,0.99823,1,0.995,0.86849,0.43544,0.23609,0.97695,0.000996099,0.000996099,0.000996099
155,402.914,0.43511,0.30321,1.14465,0.99771,1,0.995,0.86063,0.42301,0.22738,0.97145,0.000993269,0.000993269,0.000993269
156,405.382,0.44017,0.30487,1.1533,0.99691,1,0.995,0.85685,0.43388,0.23884,0.9587,0.00099044,0.00099044,0.00099044
157,407.987,0.43756,0.30863,1.15784,0.99438,1,0.995,0.83799,0.42486,0.2359,0.95715,0.00098761,0.00098761,0.00098761
158,410.783,0.42983,0.30024,1.14536,0.99673,1,0.995,0.84246,0.42363,0.23315,0.95691,0.000984781,0.000984781,0.000984781
159,413.392,0.43442,0.30041,1.131,0.99318,1,0.995,0.86238,0.41102,0.23538,0.96612,0.000981952,0.000981952,0.000981952
160,416.254,0.42869,0.30262,1.16687,0.99336,1,0.995,0.86299,0.41583,0.23022,0.96153,0.000979122,0.000979122,0.000979122
161,419,0.42333,0.29753,1.13929,0.99776,0.9985,0.995,0.85973,0.41563,0.22896,0.95122,0.000976293,0.000976293,0.000976293
162,421.608,0.45049,0.31466,1.13141,0.99845,0.9985,0.995,0.86896,0.41545,0.22863,0.9593,0.000973463,0.000973463,0.000973463
163,424.15,0.44929,0.3094,1.13214,0.99839,1,0.995,0.85971,0.42707,0.23521,0.95098,0.000970634,0.000970634,0.000970634
164,426.696,0.45653,0.31458,1.16766,0.99824,1,0.995,0.86608,0.40786,0.22809,0.95537,0.000967805,0.000967805,0.000967805
165,429.293,0.43977,0.31353,1.15278,0.99803,1,0.995,0.85598,0.42835,0.23002,0.95208,0.000964975,0.000964975,0.000964975
166,431.846,0.45446,0.31449,1.1201,0.99739,1,0.995,0.86744,0.40558,0.23054,0.94255,0.000962146,0.000962146,0.000962146
167,434.365,0.45387,0.32678,1.16752,0.99789,1,0.995,0.84447,0.42428,0.23912,0.95458,0.000959316,0.000959316,0.000959316
168,436.986,0.44369,0.30923,1.13919,0.99664,1,0.995,0.85044,0.42091,0.23249,0.95494,0.000956487,0.000956487,0.000956487
169,439.475,0.42343,0.30322,1.16377,0.99297,1,0.995,0.85905,0.4087,0.22922,0.94418,0.000953657,0.000953657,0.000953657
170,441.915,0.41923,0.29758,1.11645,0.99057,0.99899,0.99495,0.85726,0.40345,0.23498,0.93888,0.000950828,0.000950828,0.000950828
171,444.436,0.42568,0.3006,1.14998,0.99583,0.99914,0.995,0.8549,0.39297,0.22467,0.94688,0.000947999,0.000947999,0.000947999
172,447.113,0.41493,0.29185,1.12761,0.99775,0.99986,0.995,0.86418,0.38834,0.22126,0.96264,0.000945169,0.000945169,0.000945169
173,449.73,0.40495,0.29329,1.12829,0.99762,1,0.995,0.8641,0.39846,0.22703,0.96144,0.00094234,0.00094234,0.00094234
174,452.323,0.41489,0.28949,1.09908,0.99609,1,0.995,0.86255,0.41626,0.23523,0.96374,0.00093951,0.00093951,0.00093951
175,454.941,0.42405,0.29811,1.14368,0.99864,1,0.995,0.86812,0.41028,0.22594,0.96739,0.000936681,0.000936681,0.000936681
176,457.729,0.41648,0.29515,1.11413,0.99814,1,0.995,0.8709,0.41208,0.22496,0.95938,0.000933851,0.000933851,0.000933851
177,460.247,0.42025,0.29641,1.13793,0.99906,0.99965,0.995,0.87178,0.41583,0.22975,0.95448,0.000931022,0.000931022,0.000931022
178,462.794,0.42672,0.29623,1.15591,0.99833,1,0.995,0.86262,0.41972,0.22992,0.96198,0.000928193,0.000928193,0.000928193
179,465.355,0.43512,0.30363,1.15736,0.9986,1,0.995,0.86526,0.41192,0.23093,0.95986,0.000925363,0.000925363,0.000925363
180,467.902,0.42278,0.29489,1.14303,0.99766,1,0.995,0.86792,0.4097,0.22747,0.95321,0.000922534,0.000922534,0.000922534
181,470.392,0.44119,0.30386,1.15971,0.99865,0.99945,0.995,0.86562,0.40834,0.22471,0.95044,0.000919704,0.000919704,0.000919704
182,472.877,0.4166,0.28788,1.10598,0.99146,1,0.99495,0.87329,0.40849,0.22607,0.94507,0.000916875,0.000916875,0.000916875
183,475.419,0.40629,0.2888,1.13708,0.99163,0.99906,0.99495,0.87437,0.40418,0.22282,0.95997,0.000914046,0.000914046,0.000914046
184,477.963,0.40547,0.30018,1.15924,0.99664,0.9985,0.995,0.88053,0.3988,0.22567,0.93897,0.000911216,0.000911216,0.000911216
185,480.409,0.41197,0.29615,1.11346,0.99713,1,0.995,0.87121,0.3925,0.2218,0.96717,0.000908387,0.000908387,0.000908387
186,482.84,0.41136,0.29521,1.13197,0.99743,0.99993,0.995,0.87406,0.41056,0.22648,0.94614,0.000905557,0.000905557,0.000905557
187,485.402,0.43389,0.30283,1.1211,0.99149,0.99479,0.99467,0.85111,0.41,0.23378,0.97242,0.000902728,0.000902728,0.000902728
